01.175;Matfløte, 20 % fett;73;852;206;20;3,9;2,7
01.180;Rømmedressing, med urter;80;564;136;11,8;4,7;2,8
01.086;Seterrømme, 35 % fett;59;1382;335;35;2,9;2,2
01.136;Brie, hvitmuggost;47;1490;360;32;0;18
01.027;Cheddar, gulost;37;1725;416;34,9;0,1;25,4
01.062;Crème Chérie, mykost;50;1385;335;31;0;14
01.248;Geitost, hvit, Balsfjord;40;1649;398;34;0;23
01.261;Gorgonzola, blåmuggost;42;1486;359;31,2;0,1;19,4
01.262;Gruyere, ost;33;1709;412;32,3;0,4;29,8
01.038;Gräddost;39;1729;418;38;0;19
01.263;Mascarpone, kremost;46;1798;436;44,5;4,3;4,6
01.042;Norzola, blåmuggost;46;1584;383;35;0;17
01.048;Ridderost;40;1746;422;38;0;20
01.264;Roquefort, blåmuggost;42;1470;355;31;0;19
01.144;Royal Blue, blåmuggost;38;1866;452;44;0;14
01.252;Selbu blå, blåmuggost;41;1735;420;40;0;15
01.287;Selbu blå, blåmuggost, økologisk;41;1698;411;39;0;15
01.265;Stilton, blåmuggost;38;1700;410;35;0,1;23,7
01.282;Østavind, gulost;38;1641;395;32;0;27
01.186;Brunost, uspesifisert;21;1824;437;26,2;39,7;10,6
01.025;Camembert, hvitmuggost;50;1359;328;28;0;19
01.251;Chevre, geitost, naturell;49;1308;316;28;1;15
01.030;Edamer, gulost;41;1475;355;27;0;28
01.188;Feta, ost med geitmelk;56;1038;250;20,2;1,5;15,6
01.053;Fløtemysost, brunost;21;1761;422;26;36;11
01.052;Geitost, brunost;19;1832;439;27;36;13
01.249;Geitost, hvit, Snøfrisk;40;1518;366;30;0;24
01.257;Geitost, smørbar, dill, Snøfrisk;66;984;238;23;2;5,8
01.260;Geitost, smørbar, kantarell, Snøfrisk;66;987;239;23;2;6
01.117;Geitost, smørbar, naturell, Snøfrisk;65;1071;259;25;2;6,6
01.258;Geitost, smørbar, rødløk og timian, Snøfrisk;66;987;239;23;2;6
01.055;Gudbrandsdalsost, brunost;21;1818;436;28;35;11
